id,filename,message,pitch,wpm,noise_power,amplitude
104.opus,104.opus,4ЕУ ЮЯ5ЪПЙ,1571,30,28,104
105.opus,105.opus,0Ю ЬАГУИ,1331,34,37,107
106.opus,106.opus,ФО#ЕРЯЪЮ24,539,31,38,57
107.opus,107.opus,0ПГССИФ,670,32,64,105
108.opus,108.opus,П55ИМП52,1947,31,46,44
109.opus,109.opus,ДЧИЕ6Э68,1474,34,31,107
110.opus,110.opus,М5ГЬБ4ЪТ,937,32,98,71
111.opus,111.opus,6М5ЩМТ1Р,1667,31,87,78
112.opus,112.opus,ЬВАЮЖШДФ,564,32,80,106
113.opus,113.opus,1ДЕЕЕ 2ЖЖ,727,34,72,58
114.opus,114.opus,44Ф ЩЕЗ,1674,33,24,51
115.opus,115.opus,АШЮВЗ63ЬТ,608,31,65,64
116.opus,116.opus,27КЧЩЪ9ЪС,1646,32,72,77
117.opus,117.opus,8В2ТЭСТЬ,889,31,43,45
118.opus,118.opus,ДЯЗФСНН35,885,31,19,105
119.opus,119.opus,Я ЫГ3О #СФ,1835,30,47,88
120.opus,120.opus,ЮЗЮ1АЪЧД,1089,34,18,65
121.opus,121.opus,Т1ХПД3Х,749,32,29,41
122.opus,122.opus,А9Ъ4А4ЩХ,1375,32,25,66
123.opus,123.opus,ПЪЭЙСЕДЪ Д,1160,31,55,82
124.opus,124.opus,Х3#МЮР22,1618,34,97,118
125.opus,125.opus,Х6Э4Ь9АЪ8,1876,32,13,66
126.opus,126.opus,КМО99ОЖ,653,34,67,42
127.opus,127.opus,ГУ7ЮЪЙТЯ2,1918,33,88,45
128.opus,128.opus,Й1Л94ЧДАТ,1599,31,86,45
129.opus,129.opus,ХМРГ#ЦЮ6,1386,33,81,68
130.opus,130.opus,4#ГСЙГФ,1930,30,84,44
131.opus,131.opus,4ОВ0ППБПГ9,1014,33,99,48
132.opus,132.opus,МВСЩАФ8ЯП,1100,33,94,106
133.opus,133.opus,54Л ЮПЩ9ЮИ,837,30,34,67
134.opus,134.opus,ПМХЫУЪК,1132,32,99,109
135.opus,135.opus,#ЛЦЮБ ПР2,671,31,39,72
136.opus,136.opus,4УЙЬС7ЫЩ5,1197,31,52,41
137.opus,137.opus,1ЬНВЖЭМЫ9Д,816,31,11,93
138.opus,138.opus,РНПЯЕ7ЧШБ,526,34,85,113
139.opus,139.opus,В  Н1БЛ,980,33,69,30
140.opus,140.opus,Ю5М75ЫЮ,791,34,83,58
141.opus,141.opus,7ЪО ЫЙЩВЯ,1823,32,40,85
142.opus,142.opus,АКДБСМ7,1295,33,79,91
143.opus,143.opus,6Й3Л7Ы ЩХ,1019,33,40,45
144.opus,144.opus,9ЧЧМЧЖ1ЪА,1612,31,12,61
145.opus,145.opus,ЮЯМ ЮМ74,985,33,31,92
146.opus,146.opus,Й47Ф#Ъ5СЮ0,1540,31,27,72
147.opus,147.opus,Е88АЮ#ПО,1607,34,55,65
148.opus,148.opus,ЖЬКСПО#М,1478,33,78,73
149.opus,149.opus,ОЮЯУХ6ЛЙЮЮ,1573,34,75,55
150.opus,150.opus,Э0У 2ГГ,1564,33,11,38
151.opus,151.opus,ФЯ3ИЦТЯ,966,34,17,73
152.opus,152.opus,МЯ4У ЭЭ7,1046,34,13,84
153.opus,153.opus,9КЫС3НЖ,1362,33,39,104
154.opus,154.opus,Ъ33112УЗУЦ,1173,33,62,83
155.opus,155.opus,ГЙЛ7 Ф#,1095,32,92,62
156.opus,156.opus,2БВЦЪХ З,598,32,33,119
157.opus,157.opus,М ПЙСМЭУЫЯ,1112,30,40,103
158.opus,158.opus,МГРСЧЬ8ЩЩ,1530,34,31,111
159.opus,159.opus,УИ5Ь#Ю9ЖН,1319,34,16,95
160.opus,160.opus,ЭМЮЙЯЭДЧ,630,31,16,49
161.opus,161.opus,Ш4ХЦ8СШО,921,31,27,84
162.opus,162.opus,М 72ЪТ4Ч5С,698,30,22,77
163.opus,163.opus,ККФЯ2Я0,1090,30,51,60
164.opus,164.opus,01ТЦ3ЭЮРЙ5,1942,33,87,52
165.opus,165.opus,ЪАГАЯ8Д,1168,34,36,75
166.opus,166.opus,9АЫЛРВЗДЩШ,632,33,73,116
167.opus,167.opus,4 ЫП ЯЙ,1423,33,88,105
168.opus,168.opus,МЮА87Л5ЬФ,1996,30,59,69
169.opus,169.opus,Ш3ЩЦНУШ,989,32,36,64
170.opus,170.opus,ЩРЖАХАФ,771,31,25,74
171.opus,171.opus,ГЦК96ЬМР,1565,33,76,55
172.opus,172.opus,ЧЙЧЙ4Ъ24С,1315,34,39,117
173.opus,173.opus,ЧБ6754ЦАЬ,787,34,28,72
174.opus,174.opus,5ЖУБИР2 Б,1030,30,31,87
175.opus,175.opus,РЖ2#9С Я,1467,31,81,85
176.opus,176.opus,ЗВТ1Х9УЭ,1613,33,62,66
177.opus,177.opus,0У886Т Ю,572,31,32,71
178.opus,178.opus,9ЧХ5ЪХЭЗ1,1895,33,17,71
179.opus,179.opus,С#ОЬ502В,780,30,82,111
180.opus,180.opus,0ВЩКХЪ11Н,1568,34,42,45
181.opus,181.opus,ЯБФЗ5ТЙ8,1479,33,57,31
182.opus,182.opus,ГСТЛВАНЩ1,524,31,42,36
183.opus,183.opus,ЫЧГНАШ3,1869,31,76,75
184.opus,184.opus,РЧКЛГЩ ЮЫ,798,30,14,57
185.opus,185.opus,1ЙБХВ70Ш,876,30,37,106
186.opus,186.opus,5ЭР7ЪТО,778,31,12,90
187.opus,187.opus,ЩЬТЯ2ЫЬЪТ,968,32,31,37
188.opus,188.opus,ХЙБЙУЬЯР,1977,30,27,119
189.opus,189.opus,5ЛШЛИУЧАН5,1505,31,10,103
190.opus,190.opus,ГЩЕПМ9ХКИН,1290,34,96,43
191.opus,191.opus,ЮШ9ОЦПИКМЫ,1257,30,75,104
192.opus,192.opus,ФНЪЫК17Ж9,667,32,22,35
193.opus,193.opus,ЭЛЯО1#Ц9Б,1462,33,45,39
194.opus,194.opus,9ЬБФЛО #Н,1045,30,78,59
195.opus,195.opus,ЦЪХ7БХЛА,1189,31,64,76
196.opus,196.opus,ЬНЩВА7ЛГЙ,1167,33,14,56
197.opus,197.opus,УЧ58ЬМ5,635,33,37,113
198.opus,198.opus,БПЩБ3ЧН,1463,32,96,99
199.opus,199.opus,3Д51ЪВЕР,835,34,31,99
200.opus,200.opus,0ГСЙ59Б2,1895,31,80,82
201.opus,201.opus,1ОАЛЕ426ТХ,1987,34,81,48
202.opus,202.opus,Ъ7ВЪ9Д#,1136,32,92,104
203.opus,203.opus,ЗЩЦ0Ь  Ч,1031,32,62,32
204.opus,204.opus,5РТЪЦС96,1827,34,74,40
205.opus,205.opus,3Е3Л И4ЗЪ,1542,34,17,97
206.opus,206.opus,4Б ШЖ2ЬАЬЗ,889,33,72,64
207.opus,207.opus,ЩЕ4НЛУТЙ,1315,32,66,61
208.opus,208.opus,ТЭЭЙШИИЬ,1375,30,71,78
209.opus,209.opus,Щ2ФПФ ШО1Ю,1685,30,63,31
210.opus,210.opus,С1БЙ Ф Ф,1068,30,33,60
211.opus,211.opus,#ЗЖШК92РС,1336,32,73,63
212.opus,212.opus,УТЖЙУКФ2,1490,31,11,115
213.opus,213.opus,ЫЧЗУ72СА,1104,30,55,100
214.opus,214.opus,ЗАЯКБДЛ,1983,34,73,110
215.opus,215.opus,РО0Т Б37БШ,1424,32,73,75
216.opus,216.opus,П5Е54ЦЧЙ,832,30,66,69
217.opus,217.opus,ФЫГ0С28Ф,868,33,42,30
218.opus,218.opus,ЙБЯ1ГШЗГЪ,1947,31,34,80
219.opus,219.opus,У9МСШНК4ЦС,1159,31,99,59
220.opus,220.opus,6ЧДКЬ6С4,1346,31,24,72
221.opus,221.opus,КН47 МЯЛ3,944,33,41,48
222.opus,222.opus,С2ТРАЦДЗЯВ,1022,33,45,38
223.opus,223.opus,У05ЭЪЬЭ,608,33,44,47
224.opus,224.opus,КХ7ЕБМТЙЖ,1317,30,55,79
225.opus,225.opus,ЗХ5СЫРДЕ,1443,32,31,64
226.opus,226.opus,ЦМ69НЫЗШФТ,904,30,34,118
227.opus,227.opus,4КР4ЙВЕПА1,1437,32,32,79
228.opus,228.opus,ЖЦ0ИОЯЫВД,1253,32,44,44
229.opus,229.opus,ГНШЬНКГ,2033,32,81,66
230.opus,230.opus,8ЫЭЫЯ ФУ7,1081,33,79,83
231.opus,231.opus,1ЦТ 49Ш96Н,579,32,69,38
232.opus,232.opus,Д99ЧЧЩШЪЖМ,1673,33,55,31
233.opus,233.opus,В#ДЛ ЪЩ6ЪЫ,915,32,17,40
234.opus,234.opus,СВМГЦД8,1010,31,33,61
235.opus,235.opus,ВЭПЬМ0УП Ц,603,33,87,30
236.opus,236.opus,7Г6СШ5#,739,34,62,31
237.opus,237.opus,М1ЗЧШГ8Л,584,32,98,90
238.opus,238.opus,О ЗШЫЯЩЛУ6,1223,34,48,42
239.opus,239.opus,О5К7Щ58ОЗЩ,1468,34,40,63
240.opus,240.opus,2СЭФ7ИББ,1481,34,28,44
241.opus,241.opus,ЦЧЙЙМЪ9,1442,34,97,102
242.opus,242.opus,6ШЬ0Р4ГБ6К,698,33,70,74
243.opus,243.opus,Х Й1А 6,2019,31,61,83
244.opus,244.opus,ГЙЖД4В3,705,33,86,78
245.opus,245.opus,Ф5Э6Д Б0 5,1857,34,12,69
246.opus,246.opus,НН05 ЙЙФ6,1356,31,74,113
247.opus,247.opus,ЙЯЧН6#60 #,1543,33,80,31
248.opus,248.opus,ОИЛР2#2Н1,810,32,36,45
249.opus,249.opus,Г46ЭФЩДЛ,1519,32,18,64
250.opus,250.opus,ЦАР1СЧА,864,31,82,108
251.opus,251.opus,Ы#ЛЙЪ1ПЩ74,760,30,38,97
252.opus,252.opus,6БПШЭЦЙ1ЛЫ,1210,30,82,114
253.opus,253.opus,3Й8ЖЭЛ8,1834,32,32,119
254.opus,254.opus,ЩЦ0Л34ОЬ,2036,34,69,45
255.opus,255.opus,К8Ш##Ю00И,1485,32,15,44
256.opus,256.opus,2ВЩДЮЯБГ9Ы,1236,31,79,90
257.opus,257.opus,ЬЬСМЛДЛПО,975,34,84,70
258.opus,258.opus,М5ФФНВО,904,30,46,35
259.opus,259.opus,4БХ5Ы97Ш,1895,31,33,118
260.opus,260.opus,И1РЙ60ЗНЪА,833,33,65,106
261.opus,261.opus,16УЯ6Э1ШФТ,1230,33,11,85
262.opus,262.opus,ЧАШТЮИЮ,1385,34,46,102
263.opus,263.opus,ИДЪВДЧЪ5Ц2,919,30,56,65
264.opus,264.opus,2Е1ГЕГБСЩ,1959,31,78,69
265.opus,265.opus,ПЩПЪ ЭЭ,1890,31,65,104
266.opus,266.opus,ЖЗ4РШЦЗЦЕТ,1194,30,92,40
267.opus,267.opus,ЧОЙДГЛЯЗБ,1895,31,63,53
268.opus,268.opus,6Ч 00ФЩ 9Р,731,34,41,47
269.opus,269.opus,НЮ2МЙ08,530,31,57,108
270.opus,270.opus,Н5АСВМА,1047,30,99,84
271.opus,271.opus,СШМ КЩ3ВШ,1510,34,29,105
272.opus,272.opus,ОУ#42ЮЦ3Э,2033,33,12,114
273.opus,273.opus,Ь9ЛЬЭЕХЫБЯ,1434,32,26,116
274.opus,274.opus,ОРБН#ПГД3Д,1451,34,90,101
275.opus,275.opus,ТСШДЫВИВ21,1818,30,36,35
276.opus,276.opus,ЭОФ1НСС,1057,30,41,88
277.opus,277.opus,ЕСК#У65РО,1771,31,86,63
278.opus,278.opus,8ЖЯКК243,1750,30,58,62
279.opus,279.opus,ПИ6АЖ7ЯР#,1323,33,26,113
280.opus,280.opus,ШИ ЩД2М,1694,32,21,32
281.opus,281.opus,Б1Б#ПЧЗ0,1693,33,24,50
282.opus,282.opus,ЛЦЮИКП 0 Х,1503,30,68,98
283.opus,283.opus,В9УЯЦК9ЖР,753,34,17,109
284.opus,284.opus,Б3ЪВЧТ8,1779,33,55,62
285.opus,285.opus,ИФУ8ЬАЕ,1589,33,92,67
286.opus,286.opus,ИЗР  Б782Е,1702,32,65,60
287.opus,287.opus,8ЛАЩНЖШГЙ3,1907,31,42,34
288.opus,288.opus,АФ2ЬИТ3,1931,33,44,30
289.opus,289.opus,Й14ЖНУ2,1676,34,36,74
290.opus,290.opus,Щ7#6ЦН34,1165,33,88,38
291.opus,291.opus,Э ГПР#Ф0Д,946,32,87,89
292.opus,292.opus,АЮГ0 ШЛДЕ,1304,33,56,47
293.opus,293.opus,4ЕА4ЛГЛЫ,741,31,74,104
294.opus,294.opus,РЗГЮ8Ч9,864,32,65,102
295.opus,295.opus,4ЯКЦТБА,1884,34,64,98
296.opus,296.opus,8Д32ЯЦХЕ,1710,33,14,114
297.opus,297.opus,А0 ЯБЩСЗБЪ,2003,32,32,93
298.opus,298.opus,ГПЮЖЕ#ВЪ,823,33,53,70
299.opus,299.opus,ФГНХЮУЭЖ,1161,30,76,95
300.opus,300.opus,ВКЧ0ЪТЪР,1532,34,68,104
301.opus,301.opus,8Х# ЗЙЧЬ,1740,34,77,90
302.opus,302.opus,7КЖСЯЭГ,1960,31,78,97
303.opus,303.opus,ЯТ3Ч5ЩФ7,670,30,15,115
304.opus,304.opus,4ШЛЭЧИКЕ9,1345,34,38,44
305.opus,305.opus,Ж#7  #Э#,1180,33,75,42
306.opus,306.opus,21АБЕШККРК,585,30,14,82
307.opus,307.opus,МЗЩКЭЛЦ0,1134,30,57,66
308.opus,308.opus,УР9ЪРМГ4Ц,1441,34,88,65
309.opus,309.opus,ЩИМ ПЯМ,551,31,24,47
310.opus,310.opus,#С ЬЫПЛ,829,31,49,65
311.opus,311.opus,ХР45 ЮЕ,2020,30,29,103
312.opus,312.opus,МЧ6Д0НБЕ,1785,31,36,41
313.opus,313.opus,БЛ  АЮБ,1149,34,62,43
314.opus,314.opus,08ЙБ#Ч213,821,32,17,61
315.opus,315.opus,ЛТ1Е З##4,742,30,45,118
316.opus,316.opus,Ь4ЙЦИ711С,1970,34,73,110
317.opus,317.opus,ЙЧЪЫН Ъ,1293,31,43,102
318.opus,318.opus,ЫЪИО58Щ3Б,1973,34,10,113
319.opus,319.opus,БЮУТЕТАИЬ7,601,32,69,62
320.opus,320.opus,7Т 1Б9АЭХ,1981,32,38,30
321.opus,321.opus,КЧЩЭ2Х40#,800,31,57,60
322.opus,322.opus,ЭЧПЖРЮЬ,680,34,79,68
323.opus,323.opus,Ю55В#ЧД,1409,32,14,109
324.opus,324.opus,0ЬШЧЪ84,2002,32,16,100
325.opus,325.opus,0ЙЦСП3 И43,1968,32,92,113
326.opus,326.opus,ЩЦ0ПЮЖКХЮ,1245,34,79,73
327.opus,327.opus,Ы#4И2АП8ДФ,1050,32,75,44
328.opus,328.opus,ЖЖЮБ9КУ#,577,32,44,60
329.opus,329.opus,ФЯНЭШЪУЪ,1537,32,96,117
330.opus,330.opus,ФЫЪЭЙ3ЫД,594,34,40,88
331.opus,331.opus,ИС8ЙФ6М997,1236,33,62,63
332.opus,332.opus,2 Ю4ЫИЮ,818,31,49,108
333.opus,333.opus,УРЕ ЯЭ 9,1900,33,11,40
334.opus,334.opus,9ХЕН4ЧПП,1956,34,91,50
335.opus,335.opus,9Т79 ИЧ,1267,30,58,60
336.opus,336.opus,САШРЧЬА,1239,30,73,40
337.opus,337.opus,ДБН2УЫЙХ,1058,33,63,106
338.opus,338.opus,ФНХП4ДБУМ,1856,31,28,118
339.opus,339.opus,ЭХ3ТЮУАА68,1909,34,39,80
340.opus,340.opus,6АЭХЗ0З6Д,1853,31,21,40
341.opus,341.opus,Й7ЙЮЦ8Ю,1673,32,92,43
342.opus,342.opus,2Л ЙЖИУМХЧ,1635,34,15,45
343.opus,343.opus,7ЛЪДИН8,773,32,23,49
344.opus,344.opus,ЪЮЧ7СЩЩ#Р,1222,34,53,108
345.opus,345.opus,6ЩЫХПП4ЧЦ,798,34,47,79
346.opus,346.opus,29Ш5 Н5 Ь5,913,30,82,51
347.opus,347.opus,ЯТЙБ8Ч6Н46,1357,32,38,57
348.opus,348.opus,УЕРТ1ЩР,1190,33,26,112
349.opus,349.opus,8ЫНЗШУЬ,1408,34,49,74
350.opus,350.opus,РЧЙШОЦЗШ,747,32,56,86
351.opus,351.opus,ОХГТ ОР4,1088,34,69,56
352.opus,352.opus,ХЯЫЫСЯЫБУИ,595,33,77,56
353.opus,353.opus,ЮЧ99МЦ5Ш6,1264,33,19,96
354.opus,354.opus,ЦЭ468БСФ,1729,32,21,58
355.opus,355.opus,ЩШДДЖ П,1391,34,89,62
356.opus,356.opus,С0ОЯЗ2ЖА0,1846,30,98,58
357.opus,357.opus,ЭОДМФ ЙЫМ,1881,34,84,52
358.opus,358.opus,ФИШ2 СЦ#ЩШ,1879,30,61,61
359.opus,359.opus,ОХ6ЮЗУ6,1777,30,91,67
360.opus,360.opus,Ю1ЭБ6ЗЧ,1767,33,29,113
361.opus,361.opus,Н3 ИРУШ,1323,34,70,49
362.opus,362.opus,ДЕ9ДОЧЙИ,1509,34,86,94
363.opus,363.opus,ПТААШВО,1336,31,69,45
364.opus,364.opus,ОЖ67ЖТЬ,1295,30,17,88
365.opus,365.opus,3#ШВ1ЭУ,1342,30,39,37
366.opus,366.opus,ИТП0Ы47,1099,34,43,118
367.opus,367.opus,ЭТКЭ0 4С,1864,31,69,49
368.opus,368.opus,И2ЕХ ЙЩ4,564,33,15,80
369.opus,369.opus,0ДЦГАЯЪШ#,1797,30,49,70
370.opus,370.opus,Ь05ЯЫЮХП,1108,34,31,38
371.opus,371.opus,ЯЕ4 ФЯ69ТЬ,539,33,62,73
372.opus,372.opus,202ВТЙЩ8Г,1490,33,49,65
373.opus,373.opus,65АН4ПЗМ40,609,32,21,86
374.opus,374.opus,#А5ГМЧ5 Л,1033,33,62,77
375.opus,375.opus,ЭЬ ЫСЗБ2ЩЧ,1917,30,57,77
376.opus,376.opus,Л ЧЪЯЦПЗУ,655,30,29,82
377.opus,377.opus,Р1ДЩ9Л 1,1205,34,42,110
378.opus,378.opus,ЮИЙД#1Т08Ж,1548,34,33,54
379.opus,379.opus,ЪНБХ1Г10МД,1960,33,54,117
380.opus,380.opus,Н ЩУОГ7ЩА2,1921,34,55,53
381.opus,381.opus,Е21ХАД0,1236,31,86,97
382.opus,382.opus,4ВШЬХ2И8,1197,34,61,62
383.opus,383.opus,ШБ69ТН2ФЩ,1621,32,56,35
384.opus,384.opus,ЗЕ99П92ЦР,1505,33,12,75
385.opus,385.opus,3УО 2ЕЧИ#Д,1117,30,94,66
386.opus,386.opus,Ь1ЬЕЮИЛ,1365,30,62,107
387.opus,387.opus,ИТ7ЬКТ7ЧНЭ,1485,32,15,44
388.opus,388.opus,7 8Ъ801Д05,1808,31,77,75
389.opus,389.opus,Й#9ЩДЪ9Х5В,1029,34,75,116
390.opus,390.opus,У 8ГЙ7М,1457,32,47,75
391.opus,391.opus,ЖЖНЬУ1Ж,1906,33,85,55
392.opus,392.opus,ТНТФЖ У Ч,1290,31,85,101
393.opus,393.opus,ГИКЧО6ЬВ6Ф,1876,32,55,79
394.opus,394.opus,КЙЧЩ0СЮЬ,1155,32,99,98
395.opus,395.opus,ЕНЧ0УЛЦ,1102,34,55,92
396.opus,396.opus,5УЪ Д3Ш,1238,34,74,53
397.opus,397.opus,Ю5Ч1ЦЪЧЗ,633,30,45,47
398.opus,398.opus,ЖАЪЗЪ1ОЖИ2,1072,31,61,63
399.opus,399.opus,ЦА9ХЫМГЭ,1955,33,81,108
400.opus,400.opus,СЪУН Т7ГШМ,1758,32,29,71
401.opus,401.opus,ТЮЯ ЖОЗ0Ч,1802,31,29,39
402.opus,402.opus,ЗЯЧМК76ПК7,558,34,58,107
403.opus,403.opus,М7ЩГ8ЗАМЖН,1664,33,58,88
404.opus,404.opus,Й8ГМ8ПСРЙ,851,30,10,62
405.opus,405.opus,ИОВО57УЭ,1670,30,26,82
406.opus,406.opus,0776ЭХ ФД,753,33,13,68
407.opus,407.opus,ФЛЮЕФНЛЧ,1593,32,79,65
408.opus,408.opus,Ц64АО4 ЛД,1007,31,87,104
409.opus,409.opus,Я0ЧВИ6ЛМШ,1107,31,97,100
410.opus,410.opus,П4У82ЖХ,675,33,46,114
411.opus,411.opus,ЩО89Я0ЪАТЙ,1389,33,76,76
412.opus,412.opus,8Х0С УСШН,1394,33,97,67
413.opus,413.opus,ОИФН8ЯЯУ,737,34,20,115
414.opus,414.opus,ПЗ9БФ7ЦПНБ,1669,32,12,53
415.opus,415.opus,КЙ7ЮОКД,1878,31,64,94
416.opus,416.opus,ШЪ1УЙ М9СЛ,1671,34,71,95
417.opus,417.opus,Ь50Э9Ш3,1363,31,71,101
418.opus,418.opus,9ЗКНЧ6ЮЧ,965,32,59,71
419.opus,419.opus,ГЮ3 К24Ф,863,30,90,49
420.opus,420.opus,УЕАЛШЙБ,1757,30,61,69
421.opus,421.opus,7ОИИЦОА00#,1913,30,32,31
422.opus,422.opus,Х7БЭ#Р0ПД3,1785,30,36,55
423.opus,423.opus,Ы5Х#Ш3537,1842,30,49,88
424.opus,424.opus,Ю4 ПТЩ7,2030,32,16,96
